,id,name,image,multiParadigm,objectOriented,functional,imperative,scripting,strongTyped,dynamicTyped,forFrotend,forBackend,forMobile,forDesktop,forScience,forCommandLine,isOld,isNew,isPopular
0,1,ActionScript,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/ActionScript_icon.png/220px-ActionScript_icon.png,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,0
1,2,ALGOL,https://craftofcoding.files.wordpress.com/2017/06/salgolbubblesort.jpg,False,False,False,True,False,True,False,False,False,False,False,True,True,1,0,0
2,3,Bash,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Gnu-bash-logo.svg/152px-Gnu-bash-logo.svg.png,False,False,False,True,True,True,True,False,False,False,False,False,True,1,0,0
3,4,Basic,https://en.wikipedia.org/wiki/File:AtariBasic.png,True,False,False,True,False,True,False,False,False,False,False,False,True,1,0,1
4,5,C,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/The_C_Programming_Language_logo.svg/140px-The_C_Programming_Language_logo.svg.png,False,False,False,True,False,True,False,False,False,False,True,False,True,1,0,1
5,6,C++,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/ISO_C%2B%2B_Logo.svg/150px-ISO_C%2B%2B_Logo.svg.png,True,True,True,True,False,True,False,False,False,False,True,False,True,1,0,1
6,7,C#,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/C_Sharp_logo.svg/150px-C_Sharp_logo.svg.png,True,True,True,True,False,True,False,False,True,True,True,False,False,0,0,1
7,8,Cobol,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/COBOL_Report_Apr60.djvu/page1-200px-COBOL_Report_Apr60.djvu.jpg,True,True,False,True,False,True,False,False,False,False,False,False,True,1,0,0
8,9,Fortran,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Fortran_acs_cover.jpeg/150px-Fortran_acs_cover.jpeg,True,True,False,True,False,True,False,False,False,False,False,True,True,1,0,0
9,10,Go,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Go_Logo_Blue.svg/220px-Go_Logo_Blue.svg.png,True,True,True,True,False,True,False,False,True,False,False,False,False,0,1,1
10,11,Haskell,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Haskell-Logo.svg/220px-Haskell-Logo.svg.png,False,False,True,False,False,True,False,False,True,False,False,False,True,1,0,0
11,12,Java,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Java_programming_language_logo.svg/141px-Java_programming_language_logo.svg.png,True,True,False,True,False,True,False,False,True,True,True,False,True,0,0,1
12,13,JavaScript,https://upload.wikimedia.org/wikipedia/commons/6/6a/JavaScript-logo.png,True,True,True,True,True,False,True,True,True,True,True,False,True,0,0,1
13,14,Julia,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Julia_Programming_Language_Logo.svg/220px-Julia_Programming_Language_Logo.svg.png,True,False,True,False,False,True,True,False,False,False,False,True,True,0,1,0
14,15,Kotlin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Kotlin-logo.svg/220px-Kotlin-logo.svg.png,True,True,True,True,False,True,False,False,False,True,True,False,False,0,1,0
15,16,Lua,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Lua-Logo.svg/128px-Lua-Logo.svg.png,True,True,True,True,True,True,True,False,False,False,False,False,True,0,0,0
16,17,MATLAB,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Matlab_Logo.png/100px-Matlab_Logo.png,True,True,True,True,True,True,True,False,False,False,False,True,False,1,0,1
17,18,Pascal,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/LagrangePAS.jpg/300px-LagrangePAS.jpg,False,False,False,True,False,True,False,False,False,False,False,False,True,1,0,0
18,19,Perl,https://upload.wikimedia.org/wikipedia/en/e/e0/Programming-republic-of-perl.png,True,True,True,True,True,False,True,False,True,False,True,False,False,1,0,1
19,20,PHP,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/PHP-logo.svg/100px-PHP-logo.svg.png,True,True,True,True,True,False,True,False,True,False,False,False,False,0,0,1
20,21,Python,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Python_logo_and_wordmark.svg/250px-Python_logo_and_wordmark.svg.png,True,True,True,True,True,True,True,False,True,True,True,True,True,1,0,1
21,22,Swift,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Swift_logo_with_text.svg/200px-Swift_logo_with_text.svg.png,True,True,True,True,True,True,False,False,False,True,True,False,False,0,1,1
